Ligand,Bite_Angle,D_Bite_Angle,PC_Buried_Volume_7A,HOMO_Energy,LUMO_Energy,Cu-L1,Cu-L2,D_Cu-L1,D_Cu-L2,C-I,N-Cu-I,Cu-I-C,Lowdin_Charge_I,Lowdin_Charge_L1,Lowdin_Charge_L2,Bonded_Valence_Cu,Bonded_Valence_N,Bonded_Valence_I,Atomic_Population_Cu,Atomic_Population_N,Atomic_Population_I,Atomic_Population_Amide_O,Bond_Order_C-I,Bond_Order_Cu-N,Bond_Order_Cu-L1,Bond_Order_Amide_C-N,Orbital_Charge_N_s,Orbital_Charge_I_pz,Orbital_Charge_I_py,Orbital_Charge_I_dxy,Orbital_Charge_I_dx2y2,Orbital_Charge_Cu_s,Orbital_Charge_Cu_d,Orbital_Charge_L1_pz,Orbital_Charge_L2_d,Orbital_Charge_L2_dxz,Orbital_Charge_Amide_C_s,Orbital_Charge_Amide_O_s,ImgFreq,Amide_C-O,Amide_O-C-N,Ea
VORNIZ,80.55,2.4,11.5,-3.9434,-2.1393,2.01,2.26,-0.02,-0.1,2.33,63.16,83.98,0.1359,-0.6086,-0.3663,2.0909,2.7542,1.4758,28.8252,7.1699,25.1489,8.4889,0.784,0,0.435,1.5517,3.1935,3.7152,3.6265,2.041,2.0288,6.2893,9.8793,1.5465,0.0612,0.0193,2.7733,3.5106,-372.67,1.26,128.1,27.8
COXYIY,81.01,2.28,21.9,-3.2945,-1.9996,1.95,2.25,-0.01,-0.11,2.35,62.67,84.61,0.1115,-0.7912,-0.5051,2.1429,2.7431,1.3748,28.8627,7.1492,25.2345,8.5052,0.741,0,0.5856,1.5304,3.1924,3.7291,3.5567,2.0485,2.0231,6.2812,9.8434,1.6937,0.381,0.0532,2.775,3.4997,-403.34,1.26,128.58,47.2
ZIRWEF,77.12,1.89,22.4,-4.2235,-2.8257,1.98,2.24,-0.02,-0.09,2.34,64.04,83.87,0.1523,-0.6151,-0.3361,2.2756,2.8136,1.4985,28.8658,7.1643,25.126,8.4927,0.7931,0,0.4764,1.5725,3.1938,3.6634,3.6659,2.0281,2.034,6.2856,9.8516,1.5057,0.0614,0.0169,2.7727,3.5067,-371.58,1.27,127.57,26.7
OMIXOX,84.25,-1.93,22.1,-4.2838,-3.1178,1.89,2.39,0.43,-0.42,2.35,64.48,82.52,0.1611,-0.5489,-0.0997,2.3919,2.7701,1.4935,28.9421,7.1787,25.1196,8.4926,0.7738,0,0.5973,1.5959,3.196,3.8279,3.4988,2.0518,2.0232,6.281,9.8382,1.5161,0.1135,0.0162,2.7728,3.5006,-361.6,1.27,128.33,25.6
YALQOT,82.13,2.92,17.7,-3.2458,-1.9927,1.94,2.2,-0.01,-0.14,2.36,63.24,88.86,0.132,-0.7998,-0.475,2.316,2.7268,1.4999,28.9201,7.1456,25.1959,8.465,0.7225,0,0.6146,1.6247,3.2052,3.8534,3.6576,2.0544,2.0454,6.2833,9.8302,1.757,0.3559,0.0394,2.7821,3.5227,-304.37,1.27,126.61,45.7
NEBZEA,65.88,-0.77,20.9,-3.7643,-2.1008,1.98,2.11,-0.01,0.03,2.35,63.71,84.02,0.1279,-0.2133,-0.3717,2.3681,2.7312,1.4599,28.9772,7.1557,25.1851,8.4646,0.7652,0,0.4745,1.6045,3.1993,3.6878,3.6006,2.0453,2.0258,6.321,9.8956,1.4072,0.0772,0.0119,2.7816,3.5193,-321.79,1.27,126.36,51.1
BAFGUL01,84.46,10.71,18.7,-3.6092,-3.3384,1.93,2.22,-0.05,-0.19,2.42,71.21,98.64,0.1168,-0.6862,-0.0815,2.2878,2.679,1.4616,28.8677,7.1544,25.1842,8.4504,0.7851,0,0.5539,1.525,3.2106,3.6756,3.5162,2.0395,2.0256,6.3022,9.8455,1.5163,0.1138,0.0167,2.7813,3.5186,-395.9,1.26,127.65,44.5
VIXMUL,66.04,0.63,23.5,-3.7848,-2.2097,1.96,2.1,-0.01,-0.03,2.38,64.81,87.63,0.1019,-0.1743,-0.1614,2.4511,2.7921,1.4647,29.0648,7.1821,25.1702,8.4479,0.74,0,0.5353,1.573,3.2003,3.5674,3.5397,2.0234,2.0257,6.3307,9.8851,1.3784,0.0822,0.0214,2.7792,3.5219,-382.82,1.26,127.59,53.3
ECIREQ,80.62,-23.65,9.9,-4.6927,-2.9269,2,2.2,-0.02,1.08,2.47,70.24,96.31,0.1526,-0.64,-0.3001,1.6659,2.7597,1.6205,28.7068,7.16,25.0835,8.5017,0.7427,0,0.4502,1.653,3.1926,3.5178,3.6177,2.0174,2.0234,6.3951,9.8799,1.6894,0.082,0.0169,2.7739,3.4981,-390.47,1.31,126.31,49.8
LIXNEM,83.42,11.42,17.5,-4.123,-3.4777,1.95,2.15,-0.05,-0.1,2.34,62.97,86.67,0.1877,-0.5961,-0.1689,2.3589,2.7834,1.5376,28.9138,7.1769,25.1144,8.4683,0.7322,0,0.4677,1.5908,3.1978,3.5607,3.4584,2.0257,2.0258,6.2908,9.8505,1.4752,0.0837,0.014,2.7738,3.5135,-355.9,1.27,127.65,51.2
POQYEZ,80.18,1.77,21.1,-4.1922,-2.3816,1.97,2.11,0.03,-0.11,2.35,63.32,84.48,0.1611,-0.4544,-0.459,2.2593,2.7422,1.4616,28.8637,7.1736,25.1527,8.499,0.769,0,0.4378,1.5634,3.1978,3.7004,3.7427,2.0402,2.0282,6.261,9.8352,1.448,0.3765,0.0516,2.7751,3.4984,-365.9,1.27,128.36,25.4
QAFFOS01,61.54,0.51,3.7,-3.4876,-2.0976,2.06,2.23,0.06,-0.1,2.37,65.29,82.88,0.0999,-0.5688,-0.556,2.2046,2.7295,1.4479,28.9595,7.1752,25.1932,8.4996,0.758,0,0.4688,1.5472,3.1971,3.8533,3.4949,2.0467,2.0435,6.3066,9.8659,1.6565,0.2855,0.063,2.7764,3.5097,-359.55,1.27,128.5,48.4
PEPDIA,79.49,-5.05,17.7,-4.1865,-2.9664,1.95,2.22,0.17,-0.07,2.34,63.04,83.66,0.1712,-0.5998,-0.0551,2.4185,2.8087,1.4698,28.9082,7.1679,25.1392,8.4599,0.7778,0,0.5197,1.5769,3.1902,3.6001,3.4397,2.0251,2.0244,6.28,9.8222,1.5183,0.1138,0.032,2.7716,3.4991,-389.43,1.26,128.43,14.7
LOHPAA,79.65,-22.45,11.6,-4.7285,-2.849,2,2.18,-0.05,1.04,2.46,57.94,92.72,0.1477,-0.6766,-0.2961,1.6385,2.7926,1.6316,28.6838,7.1254,25.0616,8.5133,0.7536,0,0.4219,1.6773,3.1889,3.5986,3.6079,2.0254,2.0203,6.4011,9.8718,1.6536,0.08,0.0137,2.7716,3.4957,-379.43,1.31,126.79,50
VOBZIX,82.13,-1.11,19.4,-4.2435,-2.8565,1.99,2.17,0,-0.07,2.36,64.61,85.81,0.1993,0.1828,-0.0679,2.5042,2.768,1.5484,29.0214,7.1775,25.1089,8.4556,0.7492,0,0.5898,1.5846,3.1983,3.5365,3.581,2.029,2.0189,6.321,9.8587,1.3267,0.0892,0.0179,2.7742,3.5105,-355.95,1.27,127.91,43.1
KOBNIB01,65.22,0.14,9.9,-2.9977,-2.0092,1.98,2.11,0.05,-0.07,2.37,65.01,84.64,0.1058,-0.6635,-0.1414,2.3486,2.7143,1.4879,29.0066,7.1861,25.1907,8.4716,0.7549,0,0.5264,1.5636,3.1995,3.7972,3.5462,2.0546,2.0302,6.3011,9.8778,1.5537,0.0802,0.0126,2.7765,3.5159,-345.46,1.27,128.88,47.2
ZUKNIC,82.6,-2.49,17.4,-4.0427,-2.8014,2.01,2.22,-0.05,0.12,2.34,63.47,83.65,0.1346,-0.126,-0.0669,2.3884,2.7296,1.4662,29.0154,7.1758,25.1511,8.4728,0.7765,0,0.5296,1.545,3.1943,3.7727,3.6141,2.0455,2.0276,6.3163,9.8904,1.2765,0.1173,0.0174,2.7741,3.5061,-364.89,1.26,128.27,40.9
TEZBIJ,94.13,-1.31,12.1,-4.2323,-2.6816,1.97,2.12,-0.02,-0.06,2.38,66.02,84.31,0.1632,-0.5071,-0.4324,2.4416,2.7995,1.5391,28.9754,7.1777,25.1076,8.4453,0.7374,0,0.4876,1.6148,3.1973,3.7651,3.5191,2.0415,2.0375,6.2638,9.833,1.5244,0.3315,0.035,2.7738,3.5099,-367.75,1.27,127.86,27.1
LATQAA01,85.37,4.46,17.5,-3.4044,-2.7613,2.03,2.1,-0.04,-0.13,2.29,60.62,82.63,0.1565,-0.6919,-0.6028,2.082,2.7166,1.4055,28.867,7.1607,25.1902,8.483,0.8357,0,0.4183,1.5229,3.193,3.7332,3.6077,2.0596,2.0282,6.2646,9.8706,1.5972,0.3652,0.0391,2.7737,3.5022,-401.08,1.26,128.65,43
BONKAS,88.89,4.66,22.7,-3.8907,-2.2312,1.82,2.13,0.1,-0.15,2.35,64.86,83.97,0.1971,-0.5345,-0.1558,3.0185,2.8008,1.4785,29.1944,7.1464,25.1114,8.401,0.8118,0,0.6847,1.6714,3.191,3.637,3.4876,2.032,2.0184,6.2496,9.7844,1.4417,0.0773,0.0179,2.7731,3.5108,-357.77,1.27,127.44,57
TEVDOQ,94.44,-12.17,14.2,-4.3376,-4.3273,2.24,2.04,-0.08,-0.02,2.29,64.04,87.7,0.2814,-0.3298,-0.4405,2.1324,2.7923,1.6192,28.8093,7.1765,25.0117,8.4977,0.8325,0,0.2628,1.5843,3.1933,3.6319,3.5807,2.036,2.0257,6.3017,9.853,1.2749,0.3969,0.0654,2.7708,3.5058,-361.79,1.26,127.95,42.1
DOWVUJ,79.22,0.82,12,-4.3305,-2.5679,2.14,2.09,-0.08,-0.03,2.34,64.24,83.45,0.1536,-0.0884,-0.0917,2.2501,2.7531,1.4863,28.8736,7.1703,25.1151,8.509,0.7648,0,0.2717,1.5555,3.1955,3.9055,3.4746,2.0582,2.0291,6.3182,9.8796,1.1313,0.1281,0.0278,2.7753,3.506,-372.21,1.27,127.78,31.7
HOJYIR,83.98,9.99,18.7,-4.3751,-3.2602,1.87,2.17,0.02,-0.14,2.33,60.85,83.26,0.2264,-0.6246,-0.0315,2.4483,2.7736,1.4585,28.8309,7.176,25.0988,8.462,0.8226,0,0.5589,1.6294,3.1943,3.6327,3.4795,2.0375,2.0257,6.294,9.769,1.4978,0.1127,0.0271,2.7697,3.4951,-350.46,1.27,128.98,50.9
GAPMOA,86.75,0.53,20.2,-4.0213,-2.3102,2.06,2.06,-0.06,-0.07,2.34,63.29,84.37,0.1689,-0.4712,-0.4715,2.2549,2.7412,1.4819,28.9185,7.173,25.1407,8.4916,0.7613,0,0.375,1.551,3.197,3.7645,3.6706,2.0456,2.0283,6.254,9.8625,1.4949,0.3833,0.0459,2.7753,3.5052,-363.48,1.26,128.34,36.5
VAMNIG,87.06,-1.43,15.8,-2.6384,-1.9272,1.93,2.08,0.01,-0.06,2.38,63.8,85.71,0.0635,-0.9111,-0.1465,2.6476,2.7101,1.4021,28.9965,7.1586,25.2719,8.4396,0.6801,0,0.6483,1.6079,3.2071,3.588,3.6705,2.0383,2.0242,6.2976,9.8203,1.7429,0.0854,0.0108,2.7829,3.5221,-302.99,1.28,126.45,44.2
TONNUI,63.91,-0.07,20,-3.6762,-3.3,1.98,2.13,0.05,-0.06,2.36,62.77,85.04,0.1204,-0.5737,-0.6346,2.3525,2.7842,1.3896,28.9894,7.1783,25.1853,8.4963,0.7951,0,0.5417,1.6141,3.1951,3.8515,3.5648,2.0594,2.031,6.2821,9.8089,1.4674,0.3864,0.0679,2.7716,3.4923,-362.74,1.27,128.7,32.1
YATDII,63.98,-0.14,12.7,-3.5767,-2.0467,2.05,2.12,0.07,-0.08,2.35,63.9,83.4,0.1113,-0.6533,-0.1102,2.284,2.7243,1.4642,28.9735,7.1756,25.1778,8.4911,0.7701,0,0.4937,1.5439,3.193,3.7308,3.7355,2.033,2.0378,6.3067,9.8759,1.5867,0.114,0.0274,2.7751,3.5136,-359.96,1.26,128.7,44.7
SEVYIC,84.1,3.47,19.8,-4.0975,-2.6512,1.99,2.06,-0.04,-0.04,2.35,63.19,83.64,0.1387,-0.5753,-0.5334,2.3326,2.7552,1.4099,28.8842,7.1718,25.1786,8.5085,0.7705,0,0.4623,1.5592,3.1958,3.7865,3.5934,2.051,2.023,6.2539,9.8329,1.5169,0.3698,0.0555,2.7751,3.5015,-378.45,1.27,128.33,34.4
GOHVUU,93.17,2.94,10.3,-4.1297,-2.6149,2.25,2.05,-0.17,0.03,2.35,64.83,81.86,0.1457,-0.4863,-0.5048,2.1549,2.7459,1.4337,28.8608,7.1726,25.1559,8.5074,0.7855,0,0.2366,1.5716,3.1986,3.9249,3.4124,2.0521,2.042,6.2655,9.8619,1.6104,0.3492,0.0538,2.7752,3.4983,-366.12,1.27,128.1,25.1
VUWQIP,67.29,-0.22,17.6,-2.9047,-1.9985,1.95,2.03,0.03,-0.06,2.37,63.37,86.87,0.0979,-0.2184,-0.2273,2.5491,2.7068,1.4437,28.9975,7.1487,25.2165,8.4459,0.7319,0,0.5097,1.6167,3.2116,3.7051,3.5623,2.0526,2.0263,6.3197,9.8553,1.3941,0.0791,0.016,2.7864,3.5214,-288.38,1.27,126.15,46.7
SAHSUP,64.25,-1.31,15.3,-3.2641,-2.1187,1.99,2.13,0.14,-0.08,2.39,65.48,81.24,0.1162,-0.6582,-0.5495,2.3131,2.7181,1.4164,29.0158,7.1768,25.197,8.5102,0.7523,0,0.4827,1.562,3.1917,3.7139,3.5525,2.0409,2.0325,6.284,9.86,1.558,0.3137,0.0652,2.7745,3.4958,-345.27,1.27,128.85,46.9
XBPINO,85.94,1.5,23.2,-3.2292,-2.6764,1.99,2.09,-0.02,-0.07,2.33,60.67,85.01,0.1916,-0.6138,-0.7542,2.629,2.7682,1.3926,28.9832,7.1892,25.1744,8.4226,0.8342,0,0.461,1.5999,3.1965,3.5445,3.6352,2.0361,2.0331,6.2502,9.7754,1.5117,0.4027,0.0602,2.77,3.4971,-342.19,1.26,129.78,49.9
NATGOF,62.77,-0.71,16.5,-3.5812,-2.0955,2.08,2.12,0.05,-0.04,2.34,64.24,80.63,0.1152,-0.587,-0.5434,2.1385,2.7402,1.3888,28.954,7.1592,25.2047,8.518,0.7712,0,0.404,1.534,3.1912,3.6937,3.569,2.0436,2.0238,6.2907,9.8604,1.5447,0.3194,0.0529,2.7745,3.4943,-413.19,1.26,128.66,47.8
ECUJIV,62.74,0.19,14.1,-3.38,-2.0536,2.11,2.1,-0.04,0.01,2.36,64.64,82.62,0.1126,-0.5418,-0.5961,2.2015,2.7212,1.4546,28.9993,7.1808,25.1883,8.4917,0.7572,0,0.4285,1.556,3.1925,3.5556,3.6703,2.0296,2.0212,6.2865,9.8691,1.5202,0.3655,0.065,2.775,3.5104,-344.75,1.27,128.8,42
PADYOI,62.47,-0.83,12.5,-3.4477,-2.0965,2.13,2.09,-0.04,0.08,2.34,64.19,81.06,0.1125,-0.5729,-0.5835,2.1476,2.7306,1.4049,28.9497,7.1647,25.2032,8.5136,0.7774,0,0.3894,1.5371,3.1923,3.7758,3.4729,2.0445,2.0358,6.2922,9.8621,1.525,0.3423,0.0604,2.7747,3.4962,-393.78,1.26,128.64,48.7
DAPYOI,62.49,0.1,16.4,-3.2873,-2.0223,2.12,2.1,0,-0.02,2.36,64.84,82.3,0.0975,-0.5562,-0.6001,2.2235,2.7709,1.4509,29.0076,7.1767,25.1995,8.5058,0.7602,0,0.433,1.5953,3.1916,3.8338,3.6525,2.0533,2.033,6.2913,9.8651,1.5262,0.3626,0.0667,2.7729,3.5092,-346.59,1.27,128.71,44.6
GAGPOW,82.74,1.87,19.2,-3.2736,-1.9346,2.01,2.06,-0.03,-0.07,2.34,61.22,85.15,0.1618,-0.5898,-0.0948,2.3321,2.7131,1.4824,28.9259,7.1655,25.1857,8.4616,0.7539,0,0.4698,1.5983,3.1962,3.5041,3.541,2.0254,2.0299,6.2937,9.8659,1.5464,0.0856,0.0163,2.7759,3.5211,-307.89,1.27,127.53,43.4
VECKEU,82.67,15.96,12,-3.8827,-2.2721,1.95,2.08,-0.04,-0.18,2.39,64.06,84.79,0.1565,-0.6303,-0.5968,2.494,2.7472,1.4783,28.9706,7.1753,25.1371,8.4378,0.7868,0,0.5054,1.6048,3.1988,3.8813,3.5214,2.0564,2.0272,6.2708,9.8103,1.5239,0.4021,0.0429,2.7737,3.5027,-363.81,1.27,128.33,45.6
YEQHUX,89.42,0.04,23.9,-2.763,-1.5995,1.96,2.11,0,-0.03,2.3,64.03,99.65,0.1988,-0.825,-0.1744,2.3441,2.6379,1.5957,29.021,7.178,25.1724,8.4938,0.7696,0,0.6461,1.5852,3.2046,3.684,3.6348,2.0639,2.0371,6.3212,9.8455,1.5516,0.0758,0.0143,2.7832,3.558,-264.85,1.25,128.91,55.2
HPBTAZ01,87.66,9.69,16.9,-3.4677,-2.0058,2,2.04,-0.1,-0.1,2.34,61.73,90.3,0.1507,-0.7019,-0.1415,2.3509,2.739,1.5006,28.9461,7.1765,25.1579,8.4794,0.762,0,0.5061,1.55,3.1957,3.7568,3.5104,2.052,2.0273,6.2955,9.8644,1.5799,0.094,0.0201,2.7749,3.5233,-347.05,1.26,127.97,43.1
BOQNEC,62.73,-0.11,14.2,-3.3454,-2.0482,2.13,2.08,-0.04,0.03,2.36,64.59,81.76,0.1022,-0.5933,-0.5762,2.2138,2.784,1.4343,28.9906,7.1797,25.1975,8.4997,0.7645,0,0.4156,1.6144,3.1914,3.9084,3.7156,2.0381,2.0592,6.2901,9.8692,1.5086,0.3452,0.069,2.7737,3.5087,-348.96,1.27,128.81,44.7
JODKOD,63.14,-0.05,14.4,-3.3459,-2.046,2.08,2.09,0,-0.01,2.36,64.63,82.06,0.0991,-0.5667,-0.5867,2.2335,2.7264,1.4221,28.9873,7.179,25.2016,8.4907,0.7657,0,0.4199,1.5492,3.1931,3.9269,3.5874,2.067,2.0342,6.284,9.864,1.6436,0.4082,0.0725,2.775,3.5072,-354.51,1.27,128.85,43.5
HUDDEQ,63.1,-0.04,11.2,-3.3642,-2.0674,2.09,2.11,-0.02,0,2.37,64.74,82.52,0.0947,-0.5844,-0.6164,2.2257,2.7253,1.4249,29.0038,7.1798,25.206,8.4937,0.7504,0,0.4703,1.5514,3.1927,3.7974,3.6556,2.0507,2.0254,6.2882,9.863,1.5458,0.3542,0.0618,2.775,3.5069,-353.34,1.27,128.75,43.4
PUNVOM,80.87,16.86,23.6,-3.3382,-1.9583,1.89,2.12,-0.02,-0.23,2.35,63.18,91.62,0.1512,-0.6368,-0.6624,2.787,2.7619,1.3871,29.106,7.1798,25.1839,8.4288,0.7844,0,0.6018,1.557,3.1938,3.4297,3.6572,2.0213,2.0306,6.2377,9.785,1.4949,0.3931,0.0301,2.7738,3.5022,-360.42,1.26,127.86,55
KIYQEO,81.16,4.91,15.2,-4.0828,-2.4975,2.24,2.05,-0.18,-0.03,2.35,64.24,82.22,0.1293,-0.1416,-0.4343,2.2778,2.7865,1.4842,28.9318,7.1666,25.1432,8.4816,0.7869,0,0.2782,1.5618,3.189,3.6617,3.5382,2.0369,2.0192,6.3277,9.8968,1.3919,0.0659,0.0119,2.7723,3.5138,-380.39,1.26,127.92,52.2
GATDOX,95.43,0.64,17.4,-4.3064,-4.0737,2.09,1.98,-0.13,-0.01,2.3,62.38,83.6,0.2152,-0.5476,-0.5599,2.4187,2.7437,1.4604,28.8526,7.1692,25.1113,8.4883,0.8203,0,0.3313,1.5722,3.1987,3.8299,3.425,2.0503,2.0311,6.2506,9.8061,1.5452,0.3814,0.0675,2.773,3.494,-366.88,1.27,128,32.9
FOXJIN,75.17,5.16,11.7,-4.3144,-3.6829,2.52,2.01,-0.19,-0.03,2.37,64.84,88.03,0.1731,-0.3709,-0.0927,2.0427,2.8239,1.5619,28.8481,7.1671,25.0955,8.4691,0.7567,0,0.101,1.6325,3.1986,3.7379,3.6031,2.0378,2.027,6.3515,9.8778,1.2739,0.1218,0.0341,2.7736,3.5069,-372.25,1.27,127.48,44.4
GOVJIK,61.18,0.62,21.2,-3.7599,-2.0699,2.19,2.1,-0.05,0.01,2.32,63.87,81.46,0.1526,-0.8194,-0.5061,2.1737,2.7383,1.4678,28.9782,7.1796,25.1726,8.4927,0.774,0,0.3433,1.5394,3.1908,3.6854,3.5184,2.0447,2.0257,6.2813,9.8764,1.5614,0.313,0.0614,2.7738,3.5053,-386.79,1.26,128.61,48.6
SEZZON,62.92,0.02,12,-3.3818,-2.0593,2.1,2.1,0,-0.02,2.36,64.81,82.2,0.1008,-0.5692,-0.5462,2.2022,2.728,1.4305,28.991,7.1772,25.199,8.4955,0.7604,0,0.399,1.5517,3.1929,3.6459,3.6079,2.0368,2.018,6.2844,9.8679,1.5499,0.3425,0.0548,2.775,3.5077,-353,1.27,128.83,43.4
VEZPUO,90.67,-0.25,15.9,-2.5408,-1.9557,1.92,2.04,0.02,-0.14,2.42,64.67,84.71,0.0334,-0.9246,-0.2299,2.6792,2.7309,1.3614,28.9945,7.1651,25.2888,8.4442,0.6394,0,0.6451,1.6064,3.2078,3.6338,3.6854,2.0435,2.027,6.2919,9.8203,1.7887,0.0788,0.0178,2.7818,3.5202,-276.32,1.27,127.71,48.2
QAYZUO,68.08,-0.91,16.7,-3.0357,-1.9297,1.96,1.99,0.02,-0.01,2.37,62.86,84.17,0.0841,-0.2071,-0.2142,2.5795,2.6928,1.4085,29.0088,7.1418,25.2326,8.4525,0.7106,0,0.4911,1.6178,3.2127,3.7529,3.7096,2.0523,2.0409,6.3228,9.8474,1.3379,0.0815,0.0158,2.7852,3.52,-278.53,1.27,126.81,48.1
EJEGOP,77.96,1.84,13.3,-4.4802,-4.3079,2.17,2.08,-0.11,-0.03,2.33,64.02,86.05,0.2521,0.2061,0.2087,2.4038,2.8315,1.6216,28.9617,7.1702,25.0171,8.4485,0.7831,0,0.354,1.6382,3.1933,3.6847,3.5327,2.0374,2.0238,6.3395,9.8328,1.3183,0.1261,0.0219,2.7706,3.507,-377.84,1.27,127.93,29
KAMTIB,82.29,14.27,17.5,-3.5497,-2.1052,2.05,2.03,-0.13,-0.07,2.35,63.11,86.69,0.1553,-0.5728,-0.0864,2.4066,2.7588,1.4787,28.9709,7.1717,25.1537,8.4708,0.7721,0,0.3752,1.5704,3.1975,3.6239,3.5804,2.036,2.0185,6.2928,9.8568,1.5026,0.0839,0.0148,2.7748,3.5181,-354.79,1.27,127.9,41.6
EBIFIF,65.75,0,17.3,-3.4891,-3.3712,2.1,2.01,-0.03,0.01,2.33,62.64,84.5,0.1158,-0.3948,-0.1868,2.2861,2.7802,1.4297,28.9314,7.162,25.1813,8.485,0.7826,0,0.3254,1.6106,3.1993,3.7898,3.485,2.0508,2.0292,6.3374,9.878,1.4369,0.0848,0.013,2.7751,3.5075,-360.68,1.27,128.78,42.8
