Ligand,Bite_Angle,D_Bite_Angle,Cone_Angle,Sterimol_B1,Sterimol_B5,Sterimol_L,PC_Buried_Volume_35A,PC_Buried_Volume_5A,PC_Buried_Volume_7A,SASA,HOMO_Energy,LUMO_Energy,Cu_L1,Cu_L2,D_Cu_L1,D_Cu_L2,Cu_I,Cu_I_C,I_C_Cu,C_Cu_I,Lowdin_Charge_Cu,Lowdin_Charge_C,Lowdin_Charge_I,Lowdin_Charge_L1,Lowdin_Charge_L2,Bonded_Valence_Cu,Bonded_Valence_C,Bonded_Valence_I,Bonded_Valence_L1,Bonded_Valence_L2,Atomic_Population_Cu,Atomic_Population_C,Atomic_Population_I,Atomic_Population_L1,Atomic_Population_L2,Bond_Order_Cu_I,Bond_Order_Cu_L1,Bond_Order_Cu_L2,Orbital_Charge_C_s,Orbital_Charge_C_pz,Orbital_Charge_C_px,Orbital_Charge_C_py,Orbital_Charge_I_s,Orbital_Charge_I_pz,Orbital_Charge_I_px,Orbital_Charge_I_py,Orbital_Charge_I_d,Orbital_Charge_I_dxz,Orbital_Charge_I_dyz,Orbital_Charge_I_dxy,Orbital_Charge_I_dz2,Orbital_Charge_I_dx2y2,Orbital_Charge_Cu_s,Orbital_Charge_Cu_p,Orbital_Charge_Cu_pz,Orbital_Charge_Cu_px,Orbital_Charge_Cu_py,Orbital_Charge_Cu_d,Orbital_Charge_Cu_dxz,Orbital_Charge_Cu_dyz,Orbital_Charge_Cu_dxy,Orbital_Charge_Cu_dz2,Orbital_Charge_Cu_dx2y2,Orbital_Charge_L1_pz,Orbital_Charge_L1_px,Orbital_Charge_L1_py,Orbital_Charge_L1_d,Orbital_Charge_L1_dyz,Orbital_Charge_L1_dz2,Orbital_Charge_L2_pz,Orbital_Charge_L2_px,Orbital_Charge_L2_py,Orbital_Charge_L2_d,Orbital_Charge_L2_dyz,Orbital_Charge_L2_dz2,ImgFreq,Ea
EVEVUX,70.38,10.68,195.57,3.32,10.25,7.29,29.6,26.6,20.5,783.21,-4.3242,-2.5856,2.06,2.62,-0.01,-0.56,2.53,47.79,70.8,61.41,0.3602,-0.1646,0.1754,-0.601,-0.0895,2.9468,3.7672,1.3565,2.0167,2.8972,29.1325,5.7972,25.1416,8.3994,7.0168,0.7215,0.3685,0.1076,2.9159,1.0069,1.0274,1.121,3.7478,3.3842,3.6767,3.8693,10.1467,2.0522,2.0277,2.0157,2.0381,2.0129,6.2951,12.5839,4.2503,4.1909,4.1427,9.7608,1.8882,1.9805,1.9928,1.9673,1.932,1.5053,1.4847,1.6741,0.4293,0.0497,0.0642,1.3052,1.2665,1.1998,0.1116,0.0255,0.0122,-110.48,25.5
VENJON,77.77,6.41,163.09,3.66,7.5,11.32,25.8,19.7,16.8,739.15,-4.4131,-3.3768,2.07,2.47,0.07,-0.54,2.51,46.93,69.11,63.96,0.3859,-0.1458,0.1659,-0.5186,-0.4485,3.0044,3.8865,1.3518,2.0883,2.0737,29.1596,5.8799,25.1206,8.3913,8.3499,0.7747,0.3883,0.1089,2.9129,0.9901,1.0301,1.1196,3.7555,3.3064,3.7576,3.8772,10.1373,2.0518,2.0295,2.0113,2.0368,2.0079,6.2891,12.5816,4.2533,4.1888,4.1395,9.7433,1.9546,1.9896,1.9641,1.9102,1.9248,1.5027,1.5293,1.6092,0.3644,0.0379,0.0456,1.3639,1.5058,1.6926,0.3469,0.028,0.047,-129.83,1.5
GICQAN01,85.07,4.19,206.67,1.96,5.34,8.18,35.3,23.9,12.7,594.66,-5.0777,-3.8109,1.96,2.41,0.09,-0.43,2.54,46.29,68.21,65.5,0.3716,-0.1426,0.1347,-0.1413,-0.431,2.8478,3.8835,1.3419,3.1301,1.8808,29.0826,5.8782,25.0628,7.0894,8.2855,0.7331,0.5644,0.1101,2.9187,0.9884,1.0403,1.1065,3.7848,3.3083,3.8339,3.8181,10.1201,2.0415,2.0286,2.0126,2.0312,2.0063,6.3102,12.5874,4.2346,4.2341,4.1187,9.7308,1.9879,1.9763,1.9552,1.8932,1.9183,1.3525,1.3104,1.2448,0.0836,0.0111,0.0097,1.5817,1.2737,1.6587,0.3687,0.0331,0.0457,-117.71,-2.9
FOMXEM,74.13,27.97,164.59,4.05,8.68,10.91,35.3,32.1,23.9,769.85,-4.3824,-2.7971,2.04,2.33,0.02,-0.44,2.48,46.75,68.79,64.46,0.416,-0.1527,0.2023,-0.5013,-0.509,3.0206,3.6889,1.358,2.0199,1.8477,29.1718,5.7195,25.1287,8.3885,8.2964,0.7957,0.4385,0.1122,2.9118,1.0015,1.0437,1.1015,3.7435,3.3446,3.808,3.7581,10.1434,2.0416,2.0408,2.0163,2.0343,2.0104,6.2651,12.5844,4.2117,4.2096,4.1631,9.7345,1.9903,1.9706,1.9209,1.9401,1.9126,1.5007,1.5224,1.5755,0.4199,0.0644,0.0932,1.6959,1.4325,1.4271,0.438,0.1045,0.0736,-119.36,31
RIYRUN,71.55,8.2,187.51,1.85,10.95,8.55,30.6,25,17.3,732.58,-4.4834,-2.6964,2,2.56,0.04,-0.47,2.5,46.66,69.35,63.99,0.3583,-0.1567,0.1305,-0.5961,-0.0869,2.9842,3.7253,1.3359,2.0817,2.8767,29.107,5.7927,25.1363,8.4046,7.0275,0.7628,0.4417,0.1146,2.9136,0.9986,1.0542,1.0966,3.7584,3.3602,3.763,3.8498,10.1382,2.0442,2.0339,2.0161,2.0361,2.0079,6.2977,12.598,4.2581,4.1733,4.1666,9.746,1.9203,1.9578,1.9396,1.9549,1.9733,1.5056,1.448,1.7123,0.4283,0.0827,0.0846,1.3865,1.2397,1.1444,0.1114,0.0393,0.0147,-123.71,29.7
KIKSIH,69.77,10.97,186.28,1.99,8.98,8.52,29.8,24.2,15.6,691.59,-4.2312,-2.5345,2.04,2.62,-0.04,-0.55,2.55,48.31,71.63,60.06,0.3604,-0.1731,0.1783,-0.618,-0.0957,2.9322,3.8125,1.3424,2.0358,2.9585,29.1191,5.8437,25.1305,8.4303,7.0692,0.6912,0.4031,0.1162,2.9167,1.0249,1.0251,1.1131,3.7471,3.4584,3.6587,3.8096,10.1479,2.0476,2.0277,2.0217,2.0353,2.0157,6.2957,12.5774,4.2336,4.1979,4.1459,9.7665,1.8849,1.9974,1.9932,1.9694,1.9216,1.519,1.5179,1.6452,0.4265,0.0612,0.0708,1.3885,1.195,1.1937,0.1135,0.0245,0.0141,-99.77,21.8
QIWLEQ,72.21,8.42,187.39,2.38,12.1,9.31,30.2,25.3,17.6,779.9,-4.3712,-2.788,2.01,2.56,-0.01,-0.48,2.51,47.07,69.59,63.33,0.3583,-0.1556,0.1339,-0.5622,-0.0691,2.9881,3.7522,1.3408,2.1465,2.9354,29.1073,5.8027,25.1421,8.3988,7.0566,0.7551,0.4279,0.1177,2.9133,1.0143,1.0528,1.0815,3.7552,3.4225,3.6931,3.8528,10.1425,2.0455,2.0321,2.0192,2.0341,2.0116,6.2912,12.5978,4.2481,4.1722,4.1775,9.7527,1.9107,1.95,1.9288,1.98,1.9832,1.483,1.4514,1.7084,0.4195,0.0888,0.0841,1.4398,1.2174,1.0935,0.1139,0.0414,0.0132,-113.57,28.3
LILRIJ02,78.16,2.85,177.05,1.7,6.07,8.07,29,21.2,13.4,590.89,-4.2737,-3.5716,1.97,2.35,-0.1,-0.01,2.56,46.52,70.31,63.17,0.3593,-0.1733,0.1461,-0.7013,-0.2993,2.7485,3.817,1.3273,2.0264,3.0093,28.9665,5.8424,25.0941,8.5295,7.1277,0.6974,0.5613,0.1185,2.9201,1.0001,1.0479,1.1135,3.7759,3.2963,3.8082,3.8455,10.1279,2.0467,2.0285,2.0124,2.0341,2.0062,6.3118,12.5883,4.2551,4.2137,4.1195,9.7407,1.9778,1.9666,1.9626,1.9053,1.9284,1.621,1.4818,1.6582,0.4167,0.0524,0.0506,1.2368,1.4012,1.3051,0.0944,0.0166,0.0144,-131.4,18.8
GOYTUL,72.44,9.6,165.47,1.89,6.3,7.93,27.5,19.4,10.6,576.73,-3.995,-2.5677,2.04,2.48,-0.07,-0.46,2.58,49.49,73.47,57.03,0.3706,-0.1922,0.2205,-0.5511,0.1789,2.8984,3.9467,1.3586,1.9822,2.9849,29.0845,5.9802,25.1088,8.3943,6.933,0.6129,0.4139,0.1198,2.9161,1.0165,1.0289,1.1365,3.7308,3.452,3.555,3.8821,10.1595,2.0554,2.025,2.0158,2.0428,2.0205,6.2765,12.5653,4.2258,4.1965,4.143,9.7876,1.8596,1.9834,1.9946,2.0025,1.9475,1.544,1.5271,1.6007,0.3737,0.0524,0.0535,1.3081,1.1733,1.0253,0.1296,0.0246,0.0145,-82.56,28.8
MESHUO,67.84,9.53,175.37,1.97,6.76,7.18,30.9,23.6,14.9,600.39,-4.6696,-2.8122,2.05,2.53,0.1,-0.49,2.54,47.4,70.34,62.25,0.2774,-0.1845,0.159,-0.3558,0.1282,2.6547,3.7397,1.3596,2.9205,2.8554,28.9122,5.8244,25.1056,7.7312,7.0998,0.7071,0.3543,0.12,2.9215,1.0008,1.04,1.1304,3.7634,3.3314,3.7241,3.8809,10.1413,2.0568,2.0223,2.0129,2.0374,2.0119,6.36,12.6168,4.2876,4.2437,4.0855,9.7458,1.9397,1.9864,1.9901,1.9128,1.9168,1.2945,1.476,1.3253,0.0637,0.0214,0.0086,1.317,1.1673,1.0729,0.1289,0.0206,0.0226,-136.99,8.8
AWULEK,70.61,9.97,189.68,2.51,8.98,10.15,30.2,24,16.1,768.16,-4.2093,-2.4228,2.03,2.59,-0.02,-0.51,2.56,48.18,71.98,59.84,0.3621,-0.1754,0.1755,-0.6359,-0.0735,2.9289,3.8023,1.3325,2.0326,2.9515,29.1232,5.8367,25.1373,8.4356,7.0099,0.6835,0.4256,0.1223,2.9164,1.0202,1.0255,1.1197,3.7462,3.4346,3.6624,3.8317,10.1495,2.0519,2.0267,2.0191,2.0358,2.0161,6.2913,12.5774,4.2318,4.2034,4.1422,9.7693,1.8928,2.0041,1.9919,1.9635,1.917,1.5227,1.5228,1.6471,0.4345,0.0624,0.0721,1.3363,1.1997,1.2255,0.1145,0.0239,0.0131,-95.64,24.8
LICJIT,82.12,7.78,166.98,1.87,12.58,10.12,27.5,20.1,15.8,845.71,-4.2201,-2.5891,2.12,2.41,-0.04,-0.48,2.52,47.76,70.38,61.87,0.3913,-0.1527,0.1879,-0.4377,-0.518,2.9272,3.8771,1.3784,2.0325,2.0344,29.1528,5.8793,25.1169,8.3652,8.3399,0.7448,0.3154,0.1232,2.9121,1.0051,1.0191,1.1226,3.7475,3.3852,3.6769,3.8566,10.1459,2.0498,2.0292,2.016,2.0378,2.0131,6.2817,12.5627,4.2474,4.1732,4.1421,9.7643,1.8926,1.9851,1.9863,1.9674,1.9329,1.5897,1.4614,1.5384,0.3589,0.0384,0.048,1.4059,1.4902,1.7033,0.3849,0.0411,0.0448,-106.09,8.9
COSSEJ,77.88,-12.01,170.93,4.79,9.58,9.32,31.1,25,20.4,801.59,-4.9387,-2.9706,1.99,2.41,0,0.57,2.54,47.32,69.62,63.06,0.342,-0.165,0.1755,-0.491,-0.1627,2.7183,3.7607,1.3599,2.0322,2.7221,28.9952,5.8278,25.0686,8.414,7.1497,0.7091,0.4423,0.1233,2.9197,1.0337,1.0383,1.0815,3.7697,3.5068,3.7348,3.6871,10.1261,2.0301,2.0292,2.0277,2.0294,2.0096,6.3164,12.587,4.2585,4.1971,4.1314,9.7547,1.8929,1.9537,1.9846,1.9807,1.9427,1.4746,1.4488,1.6765,0.4089,0.0463,0.0666,1.201,1.3006,1.3849,0.1116,0.0285,0.0201,-131.82,3.1
PEWNOW,76.4,5.17,165.9,1.7,6.82,6.34,29.8,21.3,11.2,548.43,-4.3186,-2.9278,2.01,2.47,-0.06,-0.32,2.51,47.43,69.93,62.64,0.2599,-0.1645,0.1147,-0.0801,-0.1152,2.9733,3.9116,1.3395,3.1275,2.8788,29.1129,5.8742,25.131,6.9962,6.9572,0.7277,0.4336,0.1247,2.9158,0.9912,1.05,1.1146,3.7549,3.2962,3.832,3.8546,10.1477,2.0498,2.0348,2.0133,2.0418,2.0081,6.3145,12.64,4.2433,4.2321,4.1645,9.7856,2.0088,2.0271,1.9463,1.8917,1.9117,1.3132,1.337,1.1201,0.1216,0.0288,0.0121,1.2241,1.3258,1.2032,0.1189,0.0202,0.0144,-116.81,27.8
AMEMAI,73.96,9.32,175.65,2.72,8.34,7.25,32.8,24.9,14.7,628.99,-4.6999,-3.1144,2.08,2.38,-0.03,-0.31,2.51,45.56,66.36,68.07,0.3286,-0.1214,0.0668,-0.103,-0.6979,3.1033,3.7812,1.2873,3.2292,1.9657,29.1766,5.8141,25.1582,7.0978,8.5545,0.7951,0.358,0.1274,2.9169,0.977,1.0195,1.1181,3.7819,3.2948,3.8262,3.9123,10.1179,2.0475,2.0231,2.0067,2.0341,2.0065,6.3123,12.6364,4.2685,4.2212,4.1468,9.7226,1.9834,1.9977,1.9576,1.8668,1.9172,1.2865,1.2805,1.2944,0.0875,0.0163,0.0162,1.5053,1.4869,1.7275,0.4489,0.091,0.0853,-135.9,20.6
APIXAA,81.69,3.51,173.73,1.7,10.22,14.36,27.6,18.7,12.9,864.69,-4.8014,-4.3162,1.91,2.45,0.07,-0.37,2.51,46.08,67.39,66.54,0.3538,-0.146,0.0926,-0.5416,-0.0709,2.9925,3.7858,1.32,2.1363,2.8989,29.1322,5.7996,25.1178,8.3447,6.9124,0.7789,0.558,0.1309,2.9187,0.9815,1.0508,1.1042,3.7809,3.3062,3.8381,3.8641,10.1181,2.0347,2.0281,2.01,2.0383,2.007,6.3171,12.6163,4.2748,4.2239,4.1177,9.7127,1.9978,1.9924,1.9378,1.8369,1.9478,1.4684,1.5055,1.6473,0.4194,0.0424,0.0552,1.1517,1.4331,1.1472,0.1216,0.0223,0.0131,-171.04,0.9
HEZHOL,70.8,21.36,165.09,1.88,9.91,10.81,31.6,26.2,22,854.01,-4.6939,-3.1562,2.22,2.45,-0.18,-0.45,2.55,44.79,68.49,66.72,0.4235,-0.1182,0.1106,-0.6267,-0.533,2.9153,3.6849,1.2865,1.8949,2.1212,29.1292,5.7888,25.1561,8.473,8.3935,0.7446,0.3285,0.1311,2.9137,1.013,1.0142,1.0849,3.7864,3.369,3.7527,3.8615,10.1198,2.046,2.0224,2.0087,2.0287,2.014,6.3028,12.5634,4.1977,4.1803,4.1853,9.7103,1.9624,2.0067,1.8627,1.9303,1.9482,1.5564,1.4489,1.6812,0.415,0.0429,0.0746,1.5704,1.4545,1.5688,0.4115,0.0588,0.0843,-141.68,6
LAJNUF,78.08,6.62,164.19,4.92,7.34,11.03,31.1,27.4,22.8,778.07,-4.4243,-2.9134,2.05,2.45,0.08,-0.49,2.52,46.48,69.53,63.99,0.4026,-0.1516,0.1419,-0.5393,-0.4642,3.0164,3.6999,1.3356,2.0437,2.0834,29.1804,5.6724,25.1232,8.434,8.3749,0.7759,0.4316,0.1319,2.913,1.0622,1.0348,1.0481,3.7629,3.6179,3.8139,3.5294,10.134,2.0247,2.037,2.034,2.0194,2.0189,6.2985,12.5742,4.1928,4.2078,4.1736,9.7246,1.9891,1.982,1.988,1.9283,1.8373,1.5011,1.5429,1.5998,0.385,0.0441,0.0512,1.3583,1.4925,1.7185,0.358,0.0356,0.0534,-134.31,7.2
XATRUH,72.8,1.81,170.73,2.64,11.71,8.05,31.8,25.4,17.4,799.44,-4.5993,-3.1423,2.13,2.43,-0.13,-0.09,2.51,45,66.06,68.93,0.3379,-0.1144,0.0316,-0.3089,-0.6465,3.0647,3.8962,1.2714,3.0904,1.9909,29.1738,5.8237,25.1578,7.434,8.4845,0.7733,0.3653,0.1329,2.9146,0.9691,1.0275,1.113,3.7923,3.3938,3.7693,3.901,10.1121,2.0261,2.0219,2.0109,2.0417,2.0114,6.3198,12.6261,4.2389,4.2427,4.1445,9.7162,1.8572,2.0171,1.9423,1.9265,1.9732,1.2285,1.2619,1.4831,0.0653,0.0162,0.0075,1.4713,1.4805,1.7315,0.4279,0.0684,0.0511,-140.28,11.6
PEWNUC,76.91,5.62,189.67,1.85,6.5,7.24,31.2,22.8,10.6,534.68,-4.4813,-2.5674,2,2.47,0.13,-0.48,2.57,48.13,71.81,60.06,0.2484,-0.188,0.1452,-0.1749,-0.1345,2.7764,3.8389,1.3358,3.1953,2.8742,28.9993,5.8887,25.1105,7.1355,7.0263,0.6566,0.4929,0.1364,2.9208,1.006,1.0507,1.1181,3.7583,3.3195,3.7978,3.8334,10.1458,2.0522,2.0309,2.0157,2.0392,2.0078,6.3519,12.634,4.2819,4.2398,4.1124,9.7656,1.9803,1.9835,1.9703,1.9004,1.9311,1.3405,1.3971,1.1849,0.0876,0.0127,0.0101,1.2378,1.3818,1.1561,0.1132,0.0199,0.0129,-116.68,12.6
LORQEP,70.7,3.67,240.03,2.36,12.3,7.3,41.4,30.9,18.1,767.54,-4.5527,-3.0143,2.02,2.49,0.14,-0.45,2.54,45.79,68.92,65.29,0.2766,-0.1556,0.0819,-0.0662,-0.1512,3.0459,3.907,1.2919,3.2736,3.0313,29.1124,5.9591,25.1399,7.0202,7.053,0.7319,0.4698,0.1374,2.9165,0.9937,1.0468,1.1065,3.7777,3.3036,3.8479,3.861,10.1279,2.0454,2.0286,2.0108,2.0359,2.0071,6.3171,12.6719,4.2566,4.2505,4.1648,9.7345,1.996,1.9885,1.9625,1.8781,1.9094,1.2715,1.4108,1.1307,0.1132,0.0243,0.0182,1.3262,1.2585,1.2793,0.0877,0.0167,0.0102,-123.1,28.1
TABDOS,76.02,7.62,176.19,4.89,8.54,11.15,31.9,26.9,19.8,779.84,-4.7886,-3.2256,2.05,2.41,-0.04,-0.4,2.49,45.75,66.68,67.56,0.2601,-0.1361,0.0768,-0.0555,-0.0905,3.0596,3.7878,1.3164,3.2551,2.8778,29.1558,5.7629,25.1211,6.9596,6.9006,0.7835,0.3747,0.141,2.9161,1.0087,1.0419,1.0784,3.7783,3.4032,3.8529,3.7661,10.1227,2.0331,2.035,2.0154,2.0281,2.0112,6.3257,12.659,4.2448,4.2359,4.1783,9.7552,2.0047,2.0236,1.9313,1.8849,1.9106,1.2216,1.3628,1.2238,0.0918,0.0188,0.009,1.2121,1.3263,1.198,0.12,0.0201,0.0143,-141.62,26.2
